Point_ID,Revisited_point,Coarse,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Elevation,LC1,LU1,Soil_Stones,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC1_Desc,LU1_Desc
47842626,Yes,,,,,3.9,4.27,4.17,11.9,0,4.2,0.9,62.5,225,C10,U120,1,SI,SI0,SI03,SI031,Broadleaved woodland,FORESTRY
46122566,Yes,,,,,6.6,6.73,22.4,66.5,2,26.7,6.2,132.3,309,C10,U120,1,SI,SI0,SI04,SI043,Broadleaved woodland,FORESTRY
47722622,Yes,,,,,5.6,5.93,9.85,22.1,0,34.4,2.8,166.8,230,B16,U111,1,SI,SI0,SI03,SI032,Maize,Agriculture (excluding fallow land and kitchen gardens)
46562548,Yes,,,,,4.3,4.82,6.35,28.7,0,14.2,2.4,49.3,378,C31,U120,2,SI,SI0,SI04,SI041,Spruce dominated mixed woodland,FORESTRY
47842612,Yes,,,,,4.4,4.96,7.79,8.5,0,9.1,1.1,147.9,275,B16,U111,2,SI,SI0,SI03,SI032,Maize,Agriculture (excluding fallow land and kitchen gardens)
47822614,Yes,,,,,3.8,4.3,6.8,29.5,0,11.1,2.2,80.9,263,C10,U120,1,SI,SI0,SI03,SI032,Broadleaved woodland,FORESTRY
48022626,Yes,,,,,5.9,6.22,9.64,15.6,0,41.3,1.9,114.7,179,B16,U111,1,SI,SI0,SI03,SI031,Maize,Agriculture (excluding fallow land and kitchen gardens)
47862636,Yes,,,,,4.5,4.83,6.57,15.3,0,95.2,1.9,281.9,202,B18,U111,1,SI,SI0,SI03,SI031,Triticale,Agriculture (excluding fallow land and kitchen gardens)
47922650,Yes,,,,,3.8,4.21,7.05,15.2,0,13.5,1.1,56.4,318,C33,U120,1,SI,SI0,SI03,SI031,Other mixed woodland,FORESTRY
47822632,Yes,,,,,4,4.34,5.76,16.3,0,7.8,1.6,68.5,245,C10,U120,1,SI,SI0,SI03,SI031,Broadleaved woodland,FORESTRY
46622560,Yes,,,,,5.9,6.14,16.24,71.1,11,15.3,4,120.2,339,C31,U120,1,SI,SI0,SI04,SI041,Spruce dominated mixed woodland,FORESTRY
47142568,Yes,,,,,6.9,7.13,19.62,80.7,17,8.8,5.8,106.1,738,C10,U120,2,SI,SI0,SI03,SI035,Broadleaved woodland,FORESTRY
46502590,Yes,,,,,5.6,5.77,12.93,48.7,0,18.9,5.3,136.3,538,E10,U111,1,SI,SI0,SI04,SI042,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46822568,Yes,,,,,5.9,6.1,14.19,60.6,0,8.3,5.8,92.7,448,E20,U111,1,SI,SI0,SI04,SI041,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46682572,Yes,,,,,6,6.28,11.35,30.8,2,42.1,3.3,206.8,339,B71,U111,1,SI,SI0,SI04,SI041,Apple fruit,Agriculture (excluding fallow land and kitchen gardens)
46782568,Yes,,,,,6.3,6.39,28.4,101.2,16,18.1,7.7,161.5,319,C10,U120,2,SI,SI0,SI04,SI041,Broadleaved woodland,FORESTRY
46722576,Yes,,,,,6.1,6.21,28.2,47.9,2,51.2,4.8,166.1,399,E20,U111,1,SI,SI0,SI04,SI041,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47722604,Yes,,,,,5.5,5.95,6.29,13.9,0,34.6,1.5,216.9,232,B16,U111,1,SI,SI0,SI03,SI032,Maize,Agriculture (excluding fallow land and kitchen gardens)
46422568,Yes,,,,,5.5,5.94,6.23,22,0,8.1,2.2,201.8,709,C31,U120,4,SI,SI0,SI04,SI042,Spruce dominated mixed woodland,FORESTRY
46862528,Yes,,,,,5.5,5.78,6.17,24.6,0,6.3,2.8,64.9,537,E20,U111,1,SI,SI0,SI03,SI037,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46462592,Yes,,,,,4.1,4.66,5.87,36,0,9,2.1,105.3,554,C10,U120,1,SI,SI0,SI04,SI042,Broadleaved woodland,FORESTRY
46862582,Yes,,,,,5.3,5.52,17.71,48.6,0,29.7,5,110.2,783,E20,U111,1,SI,SI0,SI04,SI041,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46622588,Yes,,,,,5.4,5.73,10.93,56.2,0,8.1,4,178,612,C21,U120,1,SI,SI0,SI04,SI042,Spruce dominated coniferous woodland,FORESTRY
46642586,Yes,,,,,6.2,6.25,20.1,60.9,2,26.4,7,88.7,689,E20,U111,1,SI,SI0,SI04,SI042,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46402580,Yes,,,,,3.7,4.31,10.51,71,0,33.7,4.7,88.9,923,C33,U120,1,SI,SI0,SI04,SI042,Other mixed woodland,FORESTRY
46282586,Yes,,,,,6.9,7.1,24.3,40.6,27,17.2,4.4,60.8,1034,E20,U111,1,SI,SI0,SI04,SI042,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
46502554,Yes,,,,,3.3,3.86,14.1,98,0,39.7,5.8,131.4,549,C10,U120,1,SI,SI0,SI04,SI041,Broadleaved woodland,FORESTRY
47462578,Yes,,,,,7.5,7.99,12.63,19.7,67,5.7,1.1,83.6,357,C10,U120,1,SI,SI0,SI03,SI034,Broadleaved woodland,FORESTRY
47482572,Yes,,,,,5.3,5.75,8.41,34.6,0,9.2,3,259.1,409,C10,U120,1,SI,SI0,SI03,SI034,Broadleaved woodland,FORESTRY
46082542,Yes,,,,,4.3,4.78,6.34,14.4,0,0,2,136.4,90,C10,U120,1,SI,SI0,SI04,SI043,Broadleaved woodland,FORESTRY
46942540,Yes,,,,,5,5.44,7.1,25.6,0,0,2.2,64,413,C10,U120,2,SI,SI0,SI04,SI041,Broadleaved woodland,FORESTRY
47222510,Yes,,,,,7.1,7.25,22,77.8,98,8.4,5.5,356.8,415,C10,U120,2,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
46322514,Yes,,,,,6.7,6.89,32.6,74,27,12.5,7.2,168.3,434,E20,U111,1,SI,SI0,SI04,SI044,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
47262562,Yes,,,,,5.9,6.17,5.34,24.8,1,17.8,3,55.5,210,B71,U111,1,SI,SI0,SI03,SI036,Apple fruit,Agriculture (excluding fallow land and kitchen gardens)
47222564,Yes,,,,,4.7,5.15,5.97,23.7,0,7.8,2.7,44.2,237,A30,U319,1,SI,SI0,SI03,SI036,OTHER ARTIFICIAL AREAS," Electricity, gas and thermal power distribution"
47222546,Yes,,,,,3.8,4.15,17.76,21.2,0,0,1.3,51.7,459,C10,U120,1,SI,SI0,SI03,SI037,Broadleaved woodland,FORESTRY
47462548,Yes,,,,,5.5,5.79,8.62,33.1,0,9,3.5,79.2,158,E20,U111,1,SI,SI0,SI03,SI036,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
